date,ticker,open,high,low,close,volume,price_adjusted
2018-11-29,^MXX,41038.8515625,41973.80078125,40985.26171875,41913.44921875,236661100,41913.44921875
2018-11-30,^MXX,41976.33984375,41984.578125,41416.1484375,41732.78125,407747600,41732.78125
2018-12-03,^MXX,41976.609375,42947.19921875,41844.05859375,42081.78125,241424900,42081.78125
2018-12-04,^MXX,42127.33984375,42267.66015625,41713.2890625,41865.0703125,245386100,41865.0703125
2018-12-05,^MXX,41929.94140625,41992.359375,41748.421875,41895.26953125,55449000,41895.26953125
2018-12-06,^MXX,41641.23828125,42035.98828125,41175.9609375,41987,210015100,41987
2018-12-07,^MXX,42031.5390625,42315.83984375,41781.6015625,41870.12890625,145493500,41870.12890625
2018-12-10,^MXX,41892.6796875,41934.5390625,41194.578125,41356.0390625,161393200,41356.0390625
2018-12-11,^MXX,41512.109375,41665.1796875,40799.3203125,40897.8515625,163015000,40897.8515625
2018-12-13,^MXX,41118.62890625,41841.6484375,41118.62890625,41512.51171875,207793600,41512.51171875
2018-12-14,^MXX,41539.55078125,41744.73828125,41243.7890625,41312.171875,136776200,41312.171875
2018-12-17,^MXX,41307.51953125,41596.05078125,40278.16015625,40340.51171875,136795100,40340.51171875
2018-12-18,^MXX,40480.75,41148.3984375,40419.19921875,40917.5703125,185471300,40917.5703125
2018-12-19,^MXX,40950.3203125,42032.26171875,40950.3203125,41388.28125,222583500,41388.28125
2018-12-20,^MXX,41562.23828125,41751.8984375,41309.3984375,41683.26953125,161386700,41683.26953125
2018-12-21,^MXX,41676.140625,41799.390625,41135.140625,41468.55859375,432960100,41468.55859375
2018-12-24,^MXX,41421.55859375,41698.25,41182.609375,41380.109375,33657800,41380.109375
2018-12-26,^MXX,41364.16015625,41702.859375,41177.80078125,41573.609375,79376300,41573.609375
2018-12-27,^MXX,41444.23828125,41584.640625,40978.921875,41417.8515625,91005300,41417.8515625
2018-12-28,^MXX,41422.48046875,41621.37890625,41216.03125,41459.1484375,68151300,41459.1484375
2018-12-31,^MXX,41461.69140625,41723.69140625,41421.0703125,41640.26953125,65622100,41640.26953125
2019-01-02,^MXX,41550.75,42328.55078125,41436.48828125,42271.140625,68115200,42271.140625
2019-01-03,^MXX,42172.26171875,42292.390625,41699.78125,42044.3203125,113098700,42044.3203125
2019-01-04,^MXX,42024.76953125,42661.83984375,42024.76953125,42455.12890625,110987200,42455.12890625
2019-01-07,^MXX,42489.05078125,42896.109375,42313.05859375,42834.19921875,142739600,42834.19921875
2019-01-08,^MXX,43264.19140625,43582.19140625,43024.51953125,43542.87109375,174362500,43542.87109375
2019-01-09,^MXX,43563.71875,44046.76953125,43552.609375,43648.0703125,222062800,43648.0703125
2019-01-10,^MXX,43669.03125,43792.1796875,43481.83984375,43668.94921875,189110700,43668.94921875
2019-01-11,^MXX,43707.26953125,43761.19140625,43372.6015625,43556.109375,157125500,43556.109375
2019-01-14,^MXX,43548.55859375,43681.328125,43171.01953125,43397.98046875,118296200,43397.98046875
2019-01-15,^MXX,43387.75,43747.98828125,43387.75,43603.62109375,180731700,43603.62109375
2019-01-16,^MXX,43640.609375,43984.6015625,43602.94140625,43819.53125,181390300,43819.53125
2019-01-17,^MXX,43845.4609375,44070.83984375,43843.0703125,43932.078125,222954400,43932.078125
2019-01-18,^MXX,44024.91015625,44507.3984375,43995.48046875,44241.5390625,191426300,44241.5390625
2019-01-21,^MXX,44273.359375,44541.41015625,43797.1015625,44028.9609375,51613300,44028.9609375
2019-01-22,^MXX,44066.30078125,44073.23828125,43602.828125,43768.078125,180533500,43768.078125
2019-01-23,^MXX,43831.7890625,44104.5703125,43382.3515625,43679.671875,226028900,43679.671875
2019-01-24,^MXX,43738.640625,43856.2890625,43420.37890625,43566.109375,167624100,43566.109375
2019-01-25,^MXX,43603.12109375,44051.76171875,43436.94921875,43638.62109375,165295800,43638.62109375
2019-01-28,^MXX,43590.30078125,43959.87109375,43468.171875,43626.1484375,213910000,43626.1484375
2019-01-29,^MXX,43671.46875,43902.078125,43607.140625,43700.1015625,216394800,43700.1015625
2019-01-30,^MXX,43734.328125,43915.1484375,43084.44921875,43631.359375,175070700,43631.359375
2019-01-31,^MXX,43668.5390625,44190.28125,43600.01171875,43987.94140625,184179100,43987.94140625
2019-02-01,^MXX,44095.44140625,44226.171875,43679.30078125,43738.26953125,145312800,43738.26953125
2019-02-05,^MXX,43898.109375,44491.75,43830.46875,44337.1015625,143140100,44337.1015625
2019-02-06,^MXX,44391.7109375,44495.01953125,43808.828125,43855.7890625,184307300,43855.7890625
2019-02-07,^MXX,43808.78125,44090.48828125,43586.87109375,43624.55078125,156102100,43624.55078125
2019-02-08,^MXX,43576.69921875,43620.2890625,43116.55859375,43180.44921875,111612400,43180.44921875
2019-02-11,^MXX,43126.0390625,43471.87109375,43108.5,43285.171875,100496900,43285.171875
2019-02-12,^MXX,43328.48046875,43616.03125,42970.12109375,43113.7890625,169619700,43113.7890625
2019-02-13,^MXX,43138.51171875,43194.25,42202.9609375,42284.05859375,195295700,42284.05859375
2019-02-14,^MXX,42364.98828125,42780.890625,42066.078125,42725.21875,184916300,42725.21875
2019-02-15,^MXX,42810.12890625,43035.53125,42677.390625,42988.71875,132320000,42988.71875
2019-02-18,^MXX,43022.66015625,43119.5703125,42856.23046875,42981.30859375,24585100,42981.30859375
2019-02-19,^MXX,43003.41015625,43320.51953125,42803.87890625,42949.5,129307600,42949.5
2019-02-20,^MXX,42997.0390625,43345.859375,42997.0390625,43178,170892600,43178
2019-02-21,^MXX,43161.0390625,43633.48046875,43003.390625,43577.640625,152692500,43577.640625
2019-02-22,^MXX,43583.28125,44001.21875,43571.76953125,43738.66015625,137297100,43738.66015625
2019-02-25,^MXX,43805.26953125,44070.12890625,43634.640625,43664.328125,152162100,43664.328125
2019-02-26,^MXX,43647.421875,43724.33984375,43445.91015625,43623.328125,175194100,43623.328125
2019-02-27,^MXX,43662.12109375,43662.12109375,43184.859375,43311.1796875,157917600,43311.1796875
2019-02-28,^MXX,43267.73828125,43355.390625,42550.08984375,42823.80859375,294808900,42823.80859375
2019-03-01,^MXX,42947.7109375,43021.91015625,42291.94140625,42619.23046875,125346700,42619.23046875
2019-03-04,^MXX,42598.19140625,42648.69921875,42197.87109375,42418.48828125,110675000,42418.48828125
2019-03-05,^MXX,42367.921875,42425.08984375,42099.859375,42128.91015625,126793500,42128.91015625
2019-03-06,^MXX,42134.4609375,42419.23046875,41859.21875,41908.1484375,146751000,41908.1484375
2019-03-07,^MXX,41911.53125,42008.46875,41523.921875,41641.83984375,143660500,41641.83984375
2019-03-08,^MXX,41583.9296875,41674.73046875,41140.3203125,41586.69921875,140494000,41586.69921875
2019-03-11,^MXX,41631.19140625,41985.08984375,41490.62109375,41876.171875,101281000,41876.171875
2019-03-12,^MXX,41878.37109375,42174.26171875,41558.16015625,41740.62109375,128527300,41740.62109375
2019-03-13,^MXX,41836.30859375,42026.640625,41795.01171875,41932.55859375,150059300,41932.55859375
2019-03-14,^MXX,41935.91015625,41982.01953125,41469.921875,41777.80859375,133351200,41777.80859375
2019-03-15,^MXX,41810.08984375,42309.96875,41798.94921875,42210.4609375,571444500,42210.4609375
2019-03-19,^MXX,42431.76171875,42745.48828125,42217.08984375,42378.609375,208786400,42378.609375
2019-03-20,^MXX,42389.6015625,43250.609375,42231.19140625,43156.2109375,214931900,43156.2109375
2019-03-21,^MXX,43121.8984375,43362.91015625,42851.91015625,43251.19140625,150021700,43251.19140625
2019-03-22,^MXX,43052.28125,43076.12109375,42132.30078125,42259.12109375,148439300,42259.12109375
2019-03-25,^MXX,42292.69140625,42757.7890625,42276.0390625,42703.37890625,142967200,42703.37890625
2019-03-26,^MXX,42695.75,43013.8203125,42679.421875,42826.16015625,147062600,42826.16015625
2019-03-27,^MXX,42893.37890625,43116.5,42809.76953125,42947.55078125,166516700,42947.55078125
2019-03-28,^MXX,42982.98046875,43069.9296875,42539.44140625,42942.23046875,155395000,42942.23046875
2019-03-29,^MXX,43046.921875,43316.671875,42960.1484375,43281.28125,201679200,43281.28125
2019-04-01,^MXX,43302.44921875,43838.19140625,43302.44921875,43672.05859375,130210300,43672.05859375
2019-04-02,^MXX,43672.05859375,43672.05859375,43168.05859375,43324.58984375,115672300,43324.58984375
2019-04-03,^MXX,43391.9296875,43658.9609375,43298.19921875,43339.75,139044600,43339.75
2019-04-04,^MXX,43341.19140625,43990.1796875,43252.28125,43937.390625,130329800,43937.390625
2019-04-05,^MXX,44007.73046875,45023.5390625,44007.73046875,44989.859375,217740400,44989.859375
2019-04-08,^MXX,44970.1796875,45513.8984375,44725.21875,45436.28125,162478900,45436.28125
2019-04-09,^MXX,45346.828125,45346.828125,44854.53125,45151.62890625,191575000,45151.62890625
2019-04-10,^MXX,45204.75,45219.41015625,44850.109375,44909.140625,145314900,44909.140625
2019-04-11,^MXX,44872.53125,44966.5,44373.48828125,44580.05859375,109090000,44580.05859375
2019-04-12,^MXX,44767.671875,44888.69921875,44534.37890625,44686.05859375,143662400,44686.05859375
2019-04-15,^MXX,44649.73828125,44900.9296875,44347.53125,44625.78125,108627100,44625.78125
2019-04-16,^MXX,44665.2890625,45061.7890625,44644.05859375,45009.359375,136771900,45009.359375
2019-04-17,^MXX,45038.3515625,45599.5703125,44922.6015625,45525.2890625,110086300,45525.2890625
2019-04-22,^MXX,45507.78125,45590.44140625,45321.21875,45381.21875,86717900,45381.21875
2019-04-23,^MXX,45355.9296875,45424.421875,44948.69140625,45148.3203125,132582400,45148.3203125
2019-04-24,^MXX,45112.12890625,45186.26953125,44666.25,45045.328125,131485100,45045.328125
2019-04-25,^MXX,45005.0390625,45064.9296875,44712.30078125,45026.6796875,125639200,45026.6796875
2019-04-26,^MXX,45074.69921875,45208.37109375,44769.3515625,44974.96875,109775400,44974.96875
2019-04-29,^MXX,44987.05078125,45211.1484375,44686.53125,44956.73046875,99063800,44956.73046875
2019-04-30,^MXX,44900.01953125,44904.05078125,44338.51953125,44597.3203125,182198500,44597.3203125
2019-05-02,^MXX,44513.05078125,44577,44236.359375,44312.4296875,152299700,44312.4296875
2019-05-03,^MXX,44207.359375,44517.609375,44187.46875,44277.23828125,131697100,44277.23828125
2019-05-06,^MXX,44083.671875,44175.94140625,43733.51171875,44116.69921875,112770300,44116.69921875
2019-05-07,^MXX,44041.78125,44047.7109375,43408.96875,43583.6015625,124978400,43583.6015625
2019-05-08,^MXX,43550.73046875,43629.98046875,43265.58984375,43410.73828125,137524600,43410.73828125
2019-05-09,^MXX,43249.80859375,43292.3203125,42634.8515625,43193.359375,213444900,43193.359375
2019-05-10,^MXX,43082.87890625,43496.53125,42591.9296875,43382.3515625,176698300,43382.3515625
2019-05-13,^MXX,43172.2890625,43210.140625,42524.2109375,43142.4609375,158579700,43142.4609375
2019-05-14,^MXX,43115.828125,43555.609375,43065.05859375,43431.53125,178927100,43431.53125
2019-05-15,^MXX,43235.359375,43389.5390625,42976.44921875,43338.8203125,168554600,43338.8203125
2019-05-16,^MXX,43357.078125,43696.328125,43259.37109375,43442.48828125,224795700,43442.48828125
2019-05-17,^MXX,43355.2890625,43612.890625,43289.2890625,43445.62109375,145460800,43445.62109375
2019-05-20,^MXX,43513.640625,43802.25,43240.01171875,43519.21875,128816700,43519.21875
2019-05-21,^MXX,43559.12890625,43657.8203125,42951.12109375,43190.1015625,158536500,43190.1015625
2019-05-22,^MXX,43145.109375,43151.23828125,42716.51171875,42942.23046875,112411600,42942.23046875
2019-05-23,^MXX,42834.26171875,42863.41015625,42505.328125,42812.5703125,130074300,42812.5703125
2019-05-24,^MXX,42878.9296875,42957.6796875,42299.23046875,42617.6015625,109779100,42617.6015625
2019-05-27,^MXX,42605.7890625,42613.87109375,42454.19140625,42491.4296875,55464400,42491.4296875
2019-05-28,^MXX,42497.48046875,42601.98828125,42103.1015625,42207.7109375,517663300,42207.7109375
2019-05-29,^MXX,42108.98046875,42889.55859375,42050.421875,42854.75,160494600,42854.75
2019-05-30,^MXX,42861.3984375,43464.23828125,42818.1796875,43345.8203125,147956400,43345.8203125
2019-05-31,^MXX,42693.109375,42867.1015625,42304.9296875,42749.16015625,237096200,42749.16015625
2019-06-03,^MXX,42857.7890625,43319.16015625,42748.73828125,43108.421875,206974600,43108.421875
2019-06-04,^MXX,43220.28125,43583.98828125,43058,43241.8203125,148735300,43241.8203125
2019-06-05,^MXX,43171.73046875,43466.2890625,43011.46875,43420.37890625,130411000,43420.37890625
2019-06-06,^MXX,43417.9609375,43485.109375,42850.109375,43147.828125,118390100,43147.828125
2019-06-07,^MXX,43174.9296875,43496.69921875,43080.28125,43291.328125,78236900,43291.328125
2019-06-10,^MXX,43431.890625,43892.48046875,43337.8203125,43609.171875,179083300,43609.171875
